Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP16F628A -DL -O11111114 -fo8 -N"C:\Users\Elearning.DESKTOP-5K0VQ9G\Desktop\temperature control\temperature control.mcppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"C:\Users\Elearning.DESKTOP-5K0VQ9G\Desktop\temperature control\" "temperature control.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_EEPROM.mcl" "__Lib_PWM_b3.mcl" "__Lib_UART_b21.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl"	 
hint: 0	1139	Available RAM: 208 [bytes], Available ROM: 2048 [bytes]	 
diagnostics: 0	122	Compilation Started	__Lib_Delays.c
diagnostics: 119	123	Compiled Successfully	__Lib_Delays.c
diagnostics: 0	126	All files Preprocessed in 63 ms	 
diagnostics: 0	122	Compilation Started	temperature control.c
diagnostics: 212	123	Compiled Successfully	temperature control.c
hint: 40	1164	Variable 'temp_fraction' has been eliminated by optimizer	temperature control.c
diagnostics: 0	127	All files Compiled in 218 ms	 
hint: 0	1144	Used RAM (bytes): 141 (68%)  Free RAM (bytes): 67 (32%)	Used RAM (bytes): 141 (68%)  Free RAM (bytes): 67 (32%)
hint: 0	1144	Used ROM (program words): 1623 (79%)  Free ROM (program words): 425 (21%)	Used ROM (program words): 1623 (79%)  Free ROM (program words): 425 (21%)
diagnostics: 0	125	Project Linked Successfully	temperature control.mcppi
diagnostics: 0	128	Linked in 766 ms	 
diagnostics: 0	129	Project 'temperature control.mcppi' completed: 1578 ms	 
diagnostics: 0	103	Finished successfully: 25 Feb 2019, 10:58:55	temperature control.mcppi
